CharlieChiangsKwai			Dining
CharliesSteakHouse			Vacation
Chartwells				Dining
Chase					CreditCard
ChaseCreditCardPayment			CreditCard
CheBellaPizza				Dining
Check					Check
ChickFilA				Dining
Chilis					Dining
ChinaHouse				Dining
ChinaMax				Dining
ChinaTownRestaurant			Dining
ChineseConsulateGeneral			WorkTravel
Chipotle				Dining
ChocolaterieCanonica			Dining
ChristianBo				Clothing
CiboExpressGourmet			Dining
Cinnabon				Dining
Citgo					Fuel
CityMeatMarket				Groceries
CityOfNaperville			GasElectric
Clarks					Clothing
ClearyGift				GiftsGiven
ClimateHome				Clothing
ClinicalPractice			Doctor
ClintonFoundation			Charity
Coach					Clothing
Coastal					Fuel
CoffeeBeanery				Coffee
CoffeeCorner				Coffee
Coldstone				Dining
ColdstoneCreamery			Dining
CollegeInnPub				Dining
CollegetownBagels			Dining
ColorMeMine				Entertainment
ColumbiaBookstore			General
ColumbiaUniversity			Rent
ColumbiaUniversityAthletics		Recreation
ColumbiaUniversitySalary		ThomasSalary
ColumbiaUniversityTransport		Dining
ColumbusAirport				WorkTravel
ComfortInn				Travel
CommodorePerry				WorkTravel
CommunityFoodAndJuice			Dining
CompalSRL				WorkTravel
CompassBooks				Entertainment
CongreeConvention			WorkTravel
Connollys				Dining
ContinentalAirlines			WorkTravel
ContinentalCafe				Dining
ConventionsPsychiatry			Doctor
CookOut					Dining
CookieDoughCreations			Dining
CornerBakery				Dining
Cosi					Dining
CosleyZoo				Entertainment
CostPlus				Clothing
CountryFair				Vacation
CountryHouse				Dining
CoupaCafe				WorkTravel
CourtyardByMarriott			Vacation
Craftbar				Dining
CraigsAutoServiceCenter			Fuel
Crate&Barrel				Furniture
CrateAndBarrel				Furniture
Crazy8					Clothing
Crazy8.com				Clothing
CreditDueToDebitCardDispute		CreditCard
CreditReturn				ChildCare
CreditSuisse				Cash
Credit_Card				CreditCard
CrepesOnColumbus			Dining
CricketMagazine				Entertainment
CrocsStore				Clothing
CrossSoundDeli				Vacation
CrossSoundFerry				Vacation
CurryClub				Dining
CurryLeaf				Dining
D'angelos				Vacation
DAGOSTINOS				Dining
DNCTravel				WorkTravel
DSW					Clothing
DaGennaroRestaurant			Dining
DairyQueen				Dining
Damariscotta				Vacation
Danastig				Clothing
DauneReade				General
DeaBaby					Clothing
DeanAndDeluca				Dining
DebitCardProvisionalCredit		ThomasSalary
DeliceDeFrance				Dining
Delta					Travel
DeltaAirlines				Travel
Deluxe					Dining
DeluxeCheck				Cash
DennysRestaurant			Dining
DestinationMaternity			Clothing
Diapers.com				General
DicksSportingGoods			Clothing
DigitalPhotoFinishing			School
DiscountTire				Service
DishCafe				Dining
Disney.com				GiftsGiven
DisneyStore				Entertainment
Dollar					WorkTravel
Dominicks				Groceries
Doostang				WorkTravel
DosCaminos				Dining
DotComMidway				Dining
DrAtCentralParkWest			Doctor
DrGidwani				Doctor
DrugMart				Medicine
Drugstore				General
DuPageValleyAnesthesia			Doctor
DunkinDonuts				Dining
DupageChildrensMuseum			Entertainment
DupageMedicalGroup			Doctor
EZGasoline				Fuel
EarlyPregnancyTest			Medicine
EastChinaInn				Dining
EasyShoppe				Dining
EatPiada				Dining
Ebags.com				Clothing
EddieBauer				Clothing
EducationAndPsycho			Doctor
EdwardHealthAndFitness			Recreation
EdwardHospital				Dining
EggsInc					Dining
Eggsperience				Dining
EinsteinBros				Dining
EinsteinBrothers			Dining
ElPortonBar				Dining
EmiliosTapas				Dining
EmpanadaJoes				Dining
EnjoyYourShow				Entertainment
EnterpriseRentACar			Vacation
Equifax					General
EspressoRoyale				Dining
Esprit					Clothing
Esso					Fuel
EurestDining				WorkTravel
EuropanCafe				Dining
Expedia					WorkTravel
ExpressShuttle				Travel
ExtendedStay				WorkTravel
ExtremeCoup				Clothing
ExxonMobil				Fuel
F&BNassau				Dining
F&MItaly				Dining
FAOSchwarz				GiftsGiven
FED_WIRE_CREDIT				TaxRefund
FEE:_INCOMING_DOMESTIC_WIRE		GiftReceived
FNALDayCare				ChildCare
FOREIGN_REMITTANCE_CREDIT		WorkTravel
FWCLicenseSales				Entertainment
FacheIndustries				Fuel
FactoryBrandShoes			Clothing
FactoryCardOutlet			GiftsGiven
FairOaks				Dining
FairfieldInn				WorkTravel
FallenTimbers				Fuel
FamilyFoods				Groceries
FamousFamiglia				Dining
Fandango				Entertainment
FantasticKids				Clothing
FastFreshItalian			Dining
FedEx					General
FermiResearchHousing			WorkTravel
FermiWorkTravel				WorkTravel
Fermilab				ThomasSalary
FermilabCafe				Dining
FermilabRecreation			Recreation
FieldMuseum				Entertainment
FigsCafe				Dining
FinbarrsIrishPub			WorkTravel
FirewoodCafe				Dining
FirstMidwestBank			HouseDownPayment
Flavours				Dining
FlossmoreStation			Fuel
FlourBakery&Cafe			Vacation
FlughafenTerminal2Munich		WorkTravel
FlyingJ					Dining
FoodCity				Groceries
FoodMasters				Dining
FootwearDeckers				Clothing
ForeignTransactionFee			BankCharge
ForestAkersGold				Recreation
ForeverFondue				Dining
ForeverYogurt				Dining
Fossil					Clothing
FourMountainSports			Vacation
FoxAndHound				Alcohol
FoxValleyMall				Groceries
FranklyGourmet				Dining
FreshensOfCapeCod			Vacation
FrieldsOfTheZoo				Dining
Friendlys				Dining
FrontStreetCantina			Dining
FronteraGrill				Dining
Frontier				WorkTravel
Fun4All					Entertainment
FunThings				General
FungWahBus				Travel
FunivieDelPiccolo			Entertainment
GIORDANOS				WorkTravel
GNC					Medicine
GalaxyStores				General
Gap					Clothing
GardenerSupplyCo			GiftsGiven
GarnetHill				Clothing
GasMart					Fuel
GatewayArch				Entertainment
GatewayBakeShop				Dining
Geico					CarInsurance
Genesis					Entertainment
Geordanes				Dining
GermanGuyInHarlem			Rent
Getty					Travel
GettyOil				Fuel
GiantFood				Dining
GimmeCoffee				Coffee
GinnysHallmark				Dining
Giordanos				Dining
GlassHalfFull				Vacation
GloriousBritain				GiftsGiven
GoGoAir					Entertainment
GoRoma					Dining
GoebbertsFarm				Entertainment
GoldenAgeCollectable			GiftsGiven
Goodies					Vacation
GoodmanTheatre				Entertainment
GoodyearAutoServiceCenter		Service
GooseIsland				Dining
Gotskinds				Clothing
GourmetBurgerBistro			Dining
GovernmentCenterParking			Entertainment
GraceHarold				Doctor
GraceHsu				Rent
GraciesCorn				Clothing
GrainAndWineSpirit			Groceries
GreatAMSteak				Dining
GreatAmericanBagel			Dining
GreatClips				Hair
GreatHarvest				Dining
GreenCactusGrill			Dining
GreenLeafeCafe				Dining
GreenPeaceUSA				Charity
Greenberrys				Dining
Greyhound				Travel
GringosCantina				Dining
Groupon					Entertainment
Guggenheim				Entertainment
GulfOil					Fuel
Gymboree				Clothing
HLAAWalk4Hearing			Dining
HMS					WorkTravel
HMSHOST					Dining
HMSHost					Dining
HSBC					HomeDownPayment
HSBC-NOPAYEE				HSBCTransfer
HSBCDirect				HouseDownPayment
HSBCInterestPaid			BankCharge
HSBCOnlineTransfer			HouseDownPayment
HSBCTransfer				HouseDownPayment
HaagenDazs				Dining
HaakonsHall				Dining
HairCuttery				Hair
HairCutty				Hair
HamptonInn				WorkTravel
HannaAndersson				Clothing
Hannaford				Vacation
Hardees					Dining
HartleyPharmacy				Medicine
HavanaCentral				Dining
HeavonOnSeven				Dining
Heifer					GiftsGiven
Heights					Dining
HeightsBarAndGrill			Dining
Hess					Fuel
HighEnergyBoutique			Clothing
HiltonHotel				WorkTravel
HolidayInn				Vacation
HollywoodPalmsCinema			Entertainment
HomeDepot				General
HomeMortagePayment			Mortgage
Homegoods				General
Honda					CarPayment
HoneyDewDonuts				Vacation
HotelDiStefano				WorkTravel
HotelMuencher				WorkTravel
Hotels.com				WorkTravel
HoundDogs				Dining
HouseDownPayementInterest		BankCharge
HoweTravelPlaza				Vacation
HudsonNews				Entertainment
HumanRightsCampaign			GiftsGiven
HunanBalcony				Dining
HuntingtonCountryInn			Travel
HyannisSportscards			Vacation
Hyatt					Travel
HyattRegency				WorkTravel
IKEA					Furniture
IMURiverRoom				WorkTravel
INCOMING_DOMESTIC_WIRE_FEE		TaxRefund
INCOMING_FOREIGN_WIRE_FEE		WorkTravel
INTEREST_CHARGE_REVERSAL		Dining
IPASS					Tolls
IPass					Fuel
IQFresh					Dining
IRAInvestment				RuthIRA
IRS					Taxes
IdolGivesBack				Charity
IlTollway				WorkTravel
IllinoisBarAndGrill			Dining
IllinoisDMV				Registration
IllinoisHealthAndHumanServices		Doctor
IllinoisSecOfState			Registration
IllinoisTollway				Travel
Illy					Dining
IndecorPaint				General
IndependentLivingAid			General
IndianHarvest				Dining
IndoChineVietnamese			Dining
IndusValley				Dining
IndusValleyRestaurant			Dining
InstituteofReading			Education
InterMarche				Groceries
InternationalServiceFee			WorkTravel
InternationalWines			Dining
IrvingBlueCanoe				Vacation
IslipAirport				WorkTravel
IthacaScienceCenter			Vacation
IvyLeagueStationary			General
J&RSound				General
JAGroup					Fuel
JCrew					Clothing
JFKAirport				WorkTravel
JFKRail					WorkTravel
Jagdish					Doctor
JalapenoPaintWerx			Furniture
JambaJuice				Dining
JaredGalleriaOfJewelry			GiftsGiven
JasvaleMart				Fuel
JavaCity				Dining
JayMart					Vacation
JeanAtColumbia				Doctor
JeffEllisManagement			Recreation
JeffersonScienceAssociates		WorkTravel
JessaPess				Clothing
JetRoc					Travel
JetRock					Dining
JetRockLaGuardia			Clothing
JewelOsco				Groceries
JiffyLube				Service
JimBestDOPC				Doctor
JimmyJohns				Dining
Jimmys					Dining
JimmysGrill				Dining
Jockey					GiftsGiven
JoeMamas				Dining
JohnnyCarinos				Dining
JoseCuervo				Vacation
Journeys				Dining
JuscoyaGoto				Dining
KFC					Dining
KaboozsBar&Grill			Dining
KahunaBusiness				Groceries
KateSpade				Clothing
Kebabaluba				Dining
KernelGourmetPopcorn			Dining
Kickstarter.com				Entertainment
KidsTown				Entertainment
Kidwoot.com				GiftsGiven
KillKullen				Groceries
KimSMediapolis				Dining
KingsSupermarket			Groceries
KingstonAlley				Dining
Kohls					Clothing
Kphant					Clothing
KushiesBabyUsa				Clothing
LIPA					GasElectric
LIRR					Travel
LLBeam					Clothing
LLNL_REGISTRATION_FEES			WorkTravel
LMRestaurants				Dining
LaBonneBoulangerie			Dining
LaBoulanger				Dining
LaBrea					Dining
LaGuardiaAirport			WorkTravel
LaPalapa				WorkTravel
LaVazza					Dining
LachineRapidTours			Entertainment
LainiesWay				Entertainment
LakeTahoeFood				Dining
LakesiteServiceCenter			Fuel
LalosMexican				Dining
LamazeClass				Doctor
LandsEnd				Clothing
LandsideFC				WorkTravel
LannaThai				Dining
LasPalmas				Dining
LastStopRestaurant			Dining
LaughFactory				Entertainment
Lavgrant				Clothing
LawrenceTKacmarMd			Doctor
Le					Dining
LeBusCafe				Dining
LeChocolatDuBouchard			Dining
LeMonde					Dining
LeSaintBock				Vacation
LeapFrodCafe				Dining
LemonleafGrill				Dining
LensCrafters				Clothing
LifeIsGood				Clothing
LifeTouchSchoolPortraits		School
LighthouseInn				Vacation
LimitedStores				Clothing
LincolnSquare				Entertainment
LisaPinto				Doctor
LittleFairyWings.com			GiftsGiven
LittleThaiRestaurant			Dining
LivingRoomOfLaJolla			Dining
Loehmanns				Clothing
LoneStar				Dining
LongwoodGardens				Dining
LorisDesignerShoes			Clothing
Los					Clothing
LowEBlueBurSaltLakeCity			Dining
Lowes					General
LubePros				Service
LuigiStefani				Dining
LuigisHouse				Dining
LukOil					Fuel
Lux					WorkTravel
LylasCafe				Dining
MDenOnCampus				GiftsGiven
MGHParking				WorkTravel
MINIMUM_INTEREST_CHARGE			BankCharge
MTA					Travel
Macys					Clothing
MadAnthonysSeattle			Dining
MaggieIsland				Dining
MaidBrigade				MovingStorage
MainStreetBakery			WorkTravel
MainStreetCafe				Dining
Maine					Vacation
MaizeAndBlueDelicates			Clothing
MalloysFinestWines			Groceries
MamaLombardis				Dining
MandLAutoCare				Fuel
MappsCoffee				WorkTravel
Marathon				Fuel
MarathonOil				Fuel
MarktOnLadiesMile			Clothing
MarthaVandeWater			GiftReceived
MartignettiLiquors			Vacation
Martin's				Dining
MartiniBar				Dining
MartinsNewsShops			WorkTravel
MaryBethMcLaughlin			Doctor
MassBayCompany				Vacation
MataFactorCafe				Dining
MauiBanyan				Vacation
MauiBanyon				Vacation
Max&Millie				Clothing
MaxCaffe				Dining
MayoraCoffee				Coffee
MayorgaCoffee				Coffee
McAlistersDeli				Dining
McCormickPlace				Dining
McDonalds				Dining
MehakCuisineInc				Dining
Meijer					Groceries
MeltEmersoy				Clothing
Menards					Furniture
MesonSabika				Dining
MetroNorth				WorkTravel
MexToGo					Dining
Michaels				General
MichaelsMarket				Groceries
MichiganStateUniversity			WorkTravel
MidcoastKayak				Vacation
MiddleKingdomInc			Clothing
MikesMechanics				Service
MilanoMarket				Dining
MillKoreanRestaurant			Dining
MillersPub				Dining
MollickEtraEtra				Doctor
MonkeyJoes				Dining
MooresGourmetMarket			Dining
MorningsideBO				Entertainment
MortonArboretum				Entertainment
MortonWilliams				Groceries
Motel6					WorkTravel
Motherhood				Clothing
MoutainNectar				Dining
MowItAll				MovingStorage
MrsFieldsCookies			Dining
MughlaiIndian				Dining
MuseumOfNaturalHistory			Entertainment
MuseumOfScienceBoston			Vacation
MysticAquarium				Vacation
NCOFinancialSystems			Doctor
NHGenevaAirportHotel			WorkTravel
NIUOutreach				WorkTravel
NPR-Chicago				Charity
NYCParkingGarage			Clothing
NYCTaxi					WorkTravel
NapervilleEducationFoundation		School
NapervilleParkDistrict			Recreation
NapervillePublicLibrary			Entertainment
NapervilleSchoolDistrict		School
NationalExprees				WorkTravel
NationalGrid				GasElectric
NationalMilitaryFamilyAssociation	GiftsGiven
NaturalHear				General
NawabIndian				Dining
NayyarSons				Dining
Nespresso				Coffee
Netflix					Entertainment
NewHampshireEZPass			Fines
NewJerseyDevils				Dining
NewJerseyTransit			WorkTravel
NewYorkAquarium				Entertainment
NewYorkState				TaxRefund
NewYorkStateDMV				Registration
NewYorkStateTaxes			Taxes
NicorGas				GasElectric
Nintendo				Entertainment
NoodlesAndCo				Dining
NorthForkBank				Cash
NorthernPond				Dining
Novecento				Dining
Ntrigue					Hair
NtrigueHairStudio			Hair
NussbaumAndWu				Dining
OBriensPub				Dining
