2007_12_31_Chase_m30		CarolynSwartz			Doctor				
2007_12_3_Chase_m111.24		Menards				General				
2007_12_3_Chase_m131.41		CrateAndBarrel			General				
2007_12_3_Chase_p144		ColumbiaUniversitySalary	WorkTravel			
2007_12_3_Chase_p45		BANKATM				WorkTravel			
2007_12_4_Chase_m1448.17	RiverplaceRealty		Rent				
2007_12_4_Credit_m46.55		ShellOil			Fuel				
2007_1_12_Chase_m372.22		WalMart				Vacation			
2007_1_16_Chase_m1.78		Menards				General				
2007_1_19_Chase_m202.5		Cash-Warrenville		Taxes				
2007_1_23_Chase_m308.11		AllianceOne			Fines				
2007_1_26_Chase_m18.75		UnitedAirlines			LocalTravel			
2007_1_29_Chase_p316.7		BANKATM				GiftReceived			
2007_1_29_Chase_p53.36		SurLaTable			General				
2007_1_2_Chase_m124.67		Dominicks			Groceries			
2007_1_2_Chase_m47		AmericanTaxi			Vacation			
2007_1_2_Chase_m71.14		Dominicks			Groceries			
2007_1_31_Chase_p2861.27	Fermilab			RuthSalary			
2007_1_8_Chase_m1416.5		RiverplaceRealty		Rent				
2007_1_8_Chase_m143.99		Ebags.com			General				
2007_1_8_Chase_m242		UniversityOfWashingtonTuition	School				
2007_2_12_Chase_p1838.51	BANKATM				WorkTravel			
2007_2_16_Chase_m100		BANKATM				Dining				
2007_2_22_Chase_m10		Check				Doctor				
2007_2_28_Chase_p2861.27	Fermilab			RuthSalary			
2007_2_5_Chase_m10.68		WilliamsSonoma			General				
2007_2_5_Chase_m118.8		UnitedAirlines			LocalTravel			
2007_2_5_Chase_m16		BinnysBeverageDepot		Groceries			
2007_2_5_Chase_m5		Travelocity			LocalTravel			
2007_2_7_Chase_m4000		IRAInvestment			RuthIRA				
2007_2_7_Chase_m4000_x		IRAInvestment			ThomasIRA			
2007_2_7_Chase_m44		UniversityOfWashingtonTuition	School				
2007_2_9_Chase_m1418.07		RiverplaceRealty		Rent				
2007_3_14_Chase_m101.75		NorthForkBank			Dining				
2007_3_19_Chase_m100		BANKATM				Dining				
2007_3_19_Chase_m3.67		DauneReade			General				
2007_3_19_Chase_m82.83		CreditSuisse			WorkTravel			
2007_3_21_Chase_m10		MTA				LocalTravel			
2007_3_21_Chase_m100		BANKATM				Dining				
2007_3_21_Chase_m100_x		BANKATM				Dining				
2007_3_23_Chase_m2		MTA				LocalTravel			
2007_3_23_Chase_m9.5		LIRR				LocalTravel			
2007_3_2_Chase_m103.95		Nespresso			Coffee				
2007_3_30_Chase_p2861.27	Fermilab			RuthSalary			
2007_3_5_Chase_m100		BANKATM				Dining				
2007_3_5_Chase_m250		Check				Medicine			
2007_3_6_Chase_m355.55		Samsonite			Furniture			
2007_3_8_Chase_m1030.15		Check				WorkTravel			
2007_3_9_Chase_m1418.77		RiverplaceRealty		Rent				
2007_4_10_Chase_m1418.17	RiverplaceRealty		Rent				
2007_4_13_Chase_m242		UniversityOfWashingtonTuition	School				
2007_4_17_Chase_m100		BANKATM				Dining				
2007_4_17_Chase_p288.9		UniversityOfWashingtonTuition	WorkTravel			
2007_4_19_Chase_m17		CafeAllegro			WorkTravel			
2007_4_20_Chase_m15.19		UDistrictBookStore		General				
2007_4_20_Chase_m18.5		CafeAllegro			WorkTravel			
2007_4_20_Chase_m32		Shultzys			WorkTravel			
2007_4_20_Chase_m6.54		HudsonNews			WorkTravel			
2007_4_20_Chase_m7.52		Safeway				WorkTravel			
2007_4_23_Chase_m12.43		AguaVerdeCafe			WorkTravel			
2007_4_23_Chase_m12.83		LittleThaiRestaurant		WorkTravel			
2007_4_23_Chase_m13.33		Safeway				WorkTravel			
2007_4_23_Chase_m2.54		Safeway				WorkTravel			
2007_4_23_Chase_m3.3		UWMCExpresso			WorkTravel			
2007_4_23_Chase_m34		Ruby				WorkTravel			
2007_4_23_Chase_m37.03		ScottLantz			WorkTravel			
2007_4_23_Chase_m5		ShuttleExpress			WorkTravel			
2007_4_23_Chase_m61		UniversityOfWashingtonTuition	School				
2007_4_23_Chase_m7.5		CollegeInnPub			WorkTravel			
2007_4_24_Chase_m5.74		UWInpatientPharmacy		Doctor				
2007_4_24_Chase_m5.85		HaagenDazs			WorkTravel			
2007_4_24_Chase_m9		BigTimeBrewery			WorkTravel			
2007_4_25_Chase_m14.17		UniversityTeriyaki		WorkTravel			
2007_4_25_Chase_m18		Romios				WorkTravel			
2007_4_25_Chase_m4.52		PagliaciPizza			WorkTravel			
2007_4_25_Chase_m600		GermanGuyInHarlem		Rent				
2007_4_25_Chase_m85		UniversityOfWashingtonTuition	School				
2007_4_26_Chase_m2.97		HMS				WorkTravel			
2007_4_26_Chase_m3.59		PagliaciPizza			WorkTravel			
2007_4_26_Chase_m3.72		HMS				WorkTravel			
2007_4_27_Chase_m130.98		SymantecSony			Fines				
2007_4_27_Chase_m37.94		TrendMicro			Fines				
2007_4_30_Chase_m101.5		LaGuardiaAirport		WorkTravel			
2007_4_30_Chase_p2861.26	Fermilab			RuthSalary			
2007_4_4_Chase_m100		BANKATM				Dining				
2007_4_9_Chase_m7.47		BarnesAndNoble			General				
2007_5_10_Chase_m200		ATMWithdrawal			Dining				
2007_5_14_Chase_m23.03		DauneReade			General				
2007_5_14_Chase_m39.94		BarnesAndNoble			General				
2007_5_14_Chase_m4.06		DauneReade			General				
2007_5_15_Chase_m208.8		UnitedAirlines			LocalTravel			
2007_5_18_Chase_m200		ATMWithdrawal			Dining				
2007_5_1_Chase_m9.15		Menards				General				
2007_5_22_Chase_m100		ATMWithdrawal			Dining				
2007_5_29_Chase_m100		BANKATM				Dining				
2007_5_29_Chase_m27.69		DauneReade			General				
2007_5_2_Chase_m100		BANKATM				WorkTravel			
2007_5_2_Chase_p520		BANKATM				WorkTravel			
2007_5_30_Chase_m247.3		Geico				CarInsurance			
2007_5_31_Chase_p2861.27	Fermilab			RuthSalary			
2007_5_3_Chase_m1200		GermanGuyInHarlem		Rent				
2007_5_3_Chase_m1418.17		RiverplaceRealty		Rent				
2007_5_7_Chase_m198.8		UnitedAirlines			LocalTravel			
2007_5_7_Chase_m200		BANKATM				Dining				
2007_5_7_Chase_m5		Travelocity			LocalTravel			
2007_5_7_Chase_p168.92		DebitCardProvisionalCredit	GiftReceived			
2007_5_9_Chase_m100		BANKATM				Dining				
2007_5_9_Chase_p547		BANKATM				WorkTravel			
2007_6_11_Chase_m1448.17	RiverplaceRealty		Rent				
2007_6_18_Chase_m100		BANKATM				Dining				
2007_6_1_Chase_m100		BANKATM				Dining				
2007_6_1_Chase_p149.13		Fermilab			WorkTravel			
2007_6_20_Chase_m368.8		UnitedAirlines			LocalTravel			
2007_6_22_Chase_m3.73		OfficeMax			General				
2007_6_25_Chase_m200		BANKATM				Dining				
2007_6_25_Chase_m200_x		BANKATM				Dining				
2007_6_25_Chase_m50.66		BinnysBeverageDepot		Groceries			
2007_6_25_Chase_p1071.85	BANKATM				WorkTravel			
2007_6_25_Chase_p130.98		SymantecSony			Fines				
2007_6_27_Credit_m4.5		Starbucks			Coffee				
2007_6_27_Credit_m42.5		NewYorkStateDMV			License				
2007_6_28_Chase_m268.79		UnitedAirlines			LocalTravel			
2007_6_28_Chase_m5.99		ORB				LocalTravel			
2007_6_28_Chase_p10		ORB				LocalTravel			
2007_6_29_Chase_p2861.27	Fermilab			RuthSalary			
2007_6_29_Credit_m10		MTA				LocalTravel			
2007_6_29_Credit_m703.5		UniversityHouseware		General				
